index Start,Index End,Has Tx Data,Has Tx ID,Empty,,Total,4300
10000,10100,0,51,49,,Has Tx Data,226
20000,20100,0,50,50,,Has Tx ID,2013
30000,30100,0,50,50,,Empty,2061
40000,40100,0,50,50,,,
50000,50100,0,50,50,,,
60000,60100,0,50,50,,,
70000,70100,0,50,50,,,
80000,80100,0,50,50,,,
90000,90100,0,51,49,,,
100000,100100,0,52,48,,,
120000,120100,0,50,50,,,
120000,120100,0,50,50,,,
130000,130100,0,50,50,,,
140000,140100,0,50,50,,,
150000,150100,1,49,50,,,
160000,160100,1,49,50,,,
170000,170100,0,50,50,,,
180000,180100,2,49,49,,,
190000,190100,1,49,50,,,
200000,200100,10,44,46,,,
200000,200100,10,44,46,,,
220000,220100,14,39,47,,,
300000,300100,8,50,42,,,
320000,320100,11,46,43,,,
400000,400100,11,45,44,,,
420000,420100,4,60,36,,,
500000,500100,7,45,48,,,
520000,520100,19,32,49,,,
600000,600100,23,27,50,,,
620000,620100,3,61,36,,,
700000,700100,5,55,40,,,
720000,720100,7,58,35,,,
800000,800100,5,56,39,,,
820000,820100,5,57,38,,,
900000,900100,8,51,41,,,
920000,920100,3,60,37,,,
1000000,1000100,7,31,62,,,
1020000,1020100,11,32,57,,,
1100000,1100100,10,33,57,,,
1120000,1120100,6,32,62,,,
1200000,1200100,21,27,52,,,
1220000,1220100,5,38,57,,,
1320000,1320100,8,40,52,,,
